Name,Gender,Department,Salary,Loc,Rating
Ches Bonnell,Male,Sales,"$88,050 ",Bellevue,Very Good
Garwin Peasegood,Female,Engineering,"$68,220 ",Bellevue,Good
Sidoney Yitzhok,Female,NULL,"$118,440 ",Wellington,Not Rated
Saunders Blumson,,Legal,"$56,370 ",Los Angeles,Very Good
Gardy Grigorey,Female,Support,"$107,090 ",Los Angeles,Poor
Marlie Charsley,Male,Support,"$108,450 ",Wellington,Poor
Adella Hartshorne,Female,Human Resources,"$41,160 ",Bellevue,Average
Rasla Fisby,Male,Legal,"$109,000 ",Wellington,Very Good
Rayna Gamlin,,Services,,Wellington,Average
Willi Vasey,Female,Support,"$43,020 ",Los Angeles,Average
Selby Hacker,Male,Business Development,"$37,800 ",Bellevue,Average
Stefa Eggleston,Male,Sales,"$88,380 ",Los Angeles,Average
Phylys Benitez,Female,Product Management,"$84,420 ",Wellington,Average
Ronnie Sinyard,Female,Legal,"$101,760 ",Wellington,Good
Axel Grigaut,Male,Sales,"$110,780 ",Wellington,Poor
Timmi Durran,Male,Human Resources,"$68,430 ",Wellington,Good
Minna Showler,Female,Training,"$105,370 ",Los Angeles,Good
Dyanne Strafen,Male,Engineering,"$113,800 ",Bellevue,Average
Dorolice Farry,Female,Sales,"$76,300 ",Los Angeles,Average
Elliot Tuplin,Female,Sales,"$44,530 ",Los Angeles,Average
Lion Adcock,Female,Legal,"$63,710 ",Bellevue,Average
Vic Radolf,Female,Product Management,"$62,780 ",Wellington,Very Good
Tiffani Mecozzi,Female,Training,"$119,750 ",Bellevue,Average
Jeane Bermingham,Male,Research and Development,"$116,980 ",Los Angeles,Very Poor
Gavan Puttan,Male,Accounting,"$35,940 ",Wellington,Good
Danielle Johananoff,Male,Services,"$109,040 ",Bellevue,Average
Rafaelita Blaksland,Female,Services,"$109,160 ",Los Angeles,Good
Brit Hamnett,Male,Human Resources,"$75,540 ",Wellington,Average
Mable Phythian,Female,Engineering,"$30,000 ",Los Angeles,Average
Joella Maevela,Female,Sales,"$76,210 ",Wellington,Good
Mollie Hanway,Male,NULL,"$112,650 ",Bellevue,Average
Obidiah Westrope,Male,Legal,"$108,460 ",Los Angeles,Good
Murry Dryburgh,Male,Research and Development,"$69,070 ",Los Angeles,Poor
Abbie Tann,Female,Business Development,"$116,520 ",Bellevue,Good
Aluin Churly,Female,Research and Development,"$96,560 ",Los Angeles,Not Rated
Bennett Gimenez,Female,Human Resources,"$36,460 ",Wellington,Good
Isa Mogie,Female,Training,"$50,950 ",Los Angeles,Good
Yves Clunie,Female,Marketing,"$75,440 ",Bellevue,Average
Iain Wiburn,Female,Sales,"$84,760 ",Los Angeles,Average
Nonah Bissell,Male,Engineering,"$82,240 ",Los Angeles,Poor
Mendel Gentsch,Male,Human Resources,"$28,330 ",Bellevue,Very Poor
Alfred Peplay,Female,Human Resources,"$60,580 ",Bellevue,Very Good
Adelina Cheeseman,Male,Support,"$45,510 ",Los Angeles,Very Good
Minetta Parsons,Female,Human Resources,"$110,770 ",Wellington,Good
Hobard Benninger,Female,Product Management,"$86,920 ",Wellington,Average
Fancy Bonin,,Training,"$84,680 ",Bellevue,Good
Laura Gomar,Female,Research and Development,"$36,860 ",Bellevue,Poor
Beatrix Schoales,,Sales,"$114,010 ",Los Angeles,Average
Clemmie Hebblewaite,,Services,"$54,130 ",Los Angeles,Very Poor
Issie Crippes,Female,Product Management,"$81,720 ",Wellington,Very Good
Vasily MacVanamy,Male,Human Resources,"$84,470 ",Bellevue,Average
Aile Strathearn,Female,Marketing,"$114,600 ",Bellevue,Good
Shellysheldon Mahady,Male,Training,"$114,690 ",Bellevue,Very Poor
Laney Renne,Male,Engineering,"$57,350 ",Los Angeles,Good
Trace Sidsaff,Female,Accounting,"$51,200 ",Los Angeles,Poor
Kelly Corkitt,Female,Human Resources,"$85,260 ",Bellevue,Poor
Karlen McCaffrey,Female,Services,"$71,230 ",Los Angeles,Very Poor
Jordain Sparkwill,Female,Product Management,"$107,660 ",Wellington,Good
Billie Croucher,Female,Engineering,"$75,230 ",Los Angeles,Poor
Izzy Brisco,Female,Marketing,"$108,080 ",Wellington,Average
Ignacius Losel,Male,Legal,"$28,480 ",Los Angeles,Good
Peggi Bullas,Male,Support,"$56,620 ",Wellington,Average
Bab Bridger,Male,NULL,"$87,900 ",Los Angeles,Average
Dyna Doucette,Male,Sales,"$103,550 ",Wellington,Average
Marcellina Kitt,Female,Business Development,"$78,500 ",Los Angeles,Very Good
Shela Goade,Male,Legal,"$93,930 ",Los Angeles,Good
Gwenneth Fealey,Female,NULL,"$114,770 ",Wellington,Average
Kerrie Cockshutt,Male,NULL,"$73,530 ",Bellevue,Average
Christopher Kezourec,Male,Training,"$55,310 ",Los Angeles,Very Poor
Larry Pioch,Male,Research and Development,"$49,670 ",Wellington,Poor
Bethanne Shoppee,Female,Support,,Wellington,Good
Reidar Skechley,Male,Product Management,"$40,770 ",Wellington,Average
Bari Toffano,Male,Product Management,"$106,780 ",Los Angeles,Poor
Robinia Scholling,Female,Human Resources,"$100,730 ",Los Angeles,Average
Grover Cooksey,,Services,"$74,620 ",Los Angeles,Poor
Layton Crayden,Male,Product Management,"$40,450 ",Los Angeles,Average
Marlowe Constantine,Male,Services,"$60,560 ",Wellington,Average
Rhianna McLeoid,Male,Legal,"$114,900 ",Los Angeles,Average
Alida Welman,Male,Human Resources,"$69,860 ",Los Angeles,Average
Jacobo Lasham,Female,Services,"$51,320 ",Los Angeles,Very Poor
Rhody Odhams,Male,Training,"$103,600 ",Bellevue,Good
Zach Polon,Male,Marketing,"$53,540 ",Los Angeles,Poor
Taddeo Jovis,Female,Sales,"$98,740 ",Wellington,Poor
Katerine Lohden,Male,Support,"$115,090 ",Los Angeles,Average
Jakob Philippe,Male,Marketing,"$51,910 ",Los Angeles,Good
Monroe Hendrickx,Male,Accounting,"$34,080 ",Los Angeles,Not Rated
Fred Dudeney,Male,Services,"$88,690 ",Bellevue,Poor
Brose MacCorkell,Female,Human Resources,"$35,940 ",Los Angeles,Average
Madelene Upcott,Male,Legal,"$109,190 ",Wellington,Average
Cara Havers,Male,Marketing,"$89,610 ",Bellevue,Good
Gisella Mewe,Female,Support,"$109,760 ",Wellington,Good
Daryn Kniveton,Female,Marketing,"$108,390 ",Bellevue,Poor
Stormy Church,Male,Research and Development,"$29,880 ",Bellevue,Very Poor
Cull Nannetti,Male,Support,"$68,090 ",Los Angeles,Average
Shirlene Argo,Female,Services,"$87,210 ",Wellington,Not Rated
Konstanze Wyleman,Male,Engineering,"$90,800 ",Wellington,Average
Vernor Atyea,Female,Training,"$102,930 ",Los Angeles,Good
Pedro St. Hill,Male,Engineering,,Bellevue,Average
Tris Hynard,Female,Product Management,"$29,080 ",Los Angeles,Average
Calvin O'Carroll,Female,Research and Development,"$44,450 ",Wellington,Very Good
Jessica Burditt,Female,Services,"$97,120 ",Los Angeles,Average
Aurelea Devitt,Male,Support,"$58,840 ",Wellington,Average
Meryl Waggatt,Female,Business Development,"$77,060 ",Los Angeles,Good
Corri Ellcome,Female,NULL,"$81,180 ",Los Angeles,Average
Evyn Fyrth,Male,Support,"$90,080 ",Los Angeles,Average
Car Laden,Male,Product Management,,Bellevue,Average
Sarene Creeboe,Male,Product Management,"$35,830 ",Los Angeles,Average
Steven Labat,Male,Legal,"$37,110 ",Los Angeles,Average
Lindy Guillet,Male,Training,"$112,780 ",Wellington,Poor
Loren Rettie,Female,Engineering,"$96,000 ",Los Angeles,Average
Daron Biaggioli,Female,Product Management,"$112,550 ",Los Angeles,Average
Georg Dinnage,Male,Training,"$88,330 ",Los Angeles,Poor
Ewart Hovel,Female,Training,"$116,770 ",Bellevue,Good
Archaimbaud Pinchin,Male,Marketing,"$40,270 ",Los Angeles,Average
Mile Swindley,,Business Development,,Los Angeles,Average
Garwood Penhale,Female,Business Development,"$96,640 ",Los Angeles,Very Good
Valentia Etteridge,Female,Business Development,"$118,100 ",Bellevue,Average
Courtney Given,Male,Engineering,"$43,600 ",Wellington,Average
Claudetta Petherick,Female,Legal,"$54,520 ",Wellington,Poor
Eberto William,Female,Research and Development,"$57,750 ",Wellington,Average
Bernie Gorges,Female,Training,"$99,970 ",Bellevue,Average
Myrle Prandoni,Male,Sales,"$62,200 ",Los Angeles,Very Good
Josepha Keningham,Male,Human Resources,"$42,990 ",Los Angeles,Average
Garrick Hadwick,Male,Support,"$117,810 ",Wellington,Average
Nessy Baskwell,Male,Services,"$58,130 ",Los Angeles,Average
Rosco Cogley,Male,Services,"$86,840 ",Wellington,Average
Tulley Chiddy,Female,Accounting,,Wellington,Average
Camille Baldinotti,Female,Product Management,"$41,700 ",Bellevue,Good
Dave Lacoste,Male,Legal,,Wellington,Average
Crawford Scad,Male,Human Resources,"$72,880 ",Los Angeles,Average
Larry Pioch,Male,Research and Development,"$49,670 ",Wellington,Good
Judie Di Bernardo,Male,Accounting,"$117,150 ",Wellington,Average
Kakalina Stanaway,Male,Human Resources,"$97,020 ",Los Angeles,Poor
Max Shower,Male,Training,"$67,510 ",Los Angeles,Not Rated
Juditha Hatherleigh,Female,Human Resources,"$34,830 ",Los Angeles,Average
Lanny Beaney,Male,Legal,"$38,730 ",Wellington,Average
Jim Perrygo,Male,Services,"$96,790 ",Bellevue,Good
Shannen Crittal,Female,Engineering,"$68,040 ",Los Angeles,Good
Katya Hundy,Male,Business Development,"$88,510 ",Bellevue,Average
Cordelia Djuricic,Female,Human Resources,"$65,350 ",Wellington,Very Poor
Emory Whitten,Female,Product Management,"$52,000 ",Bellevue,Not Rated
Philis Rowlstone,Female,Human Resources,"$85,740 ",Bellevue,Average
Fedora Graffin,Male,Research and Development,"$92,500 ",Bellevue,Good
Marjie Bamford,Male,Sales,"$80,770 ",Wellington,Very Good
Doe Clubley,Female,Product Management,"$67,820 ",Los Angeles,Not Rated
Adella Hartshorne,Female,Human Resources,"$41,160 ",Wellington,Good
Barney Bonafant,Female,Engineering,"$48,060 ",Wellington,Poor
Nessi Delves,Male,Training,"$56,830 ",Los Angeles,Very Good
Addi Studdeard,Female,Product Management,"$72,500 ",Bellevue,Very Poor
Benoite Ackermann,Female,Services,"$57,080 ",Wellington,Average
Sharity Brands,Male,Product Management,"$104,080 ",Wellington,Very Poor
Cassondra Giottini,Male,Marketing,,Los Angeles,Not Rated
Beryl Burnsyde,Male,Legal,"$29,770 ",Bellevue,Good
Ollie Schirak,Male,Legal,"$48,690 ",Bellevue,Average
Amaleta Baltzar,,Research and Development,"$70,080 ",Bellevue,Very Poor
Katya Hundy,Male,Business Development,"$88,510 ",Los Angeles,Poor
Wyn Treadger,Female,Business Development,"$69,190 ",Wellington,Average
Orton Livick,Male,Services,"$37,920 ",Wellington,Average
Haven Belward,Male,Accounting,"$89,120 ",Bellevue,Good
Yasmeen Klimkiewich,Female,Legal,"$48,140 ",Wellington,Very Good
Kristofor Powner,Male,Support,"$69,340 ",Bellevue,Average
Phillipp Nekrews,Male,Human Resources,"$71,330 ",Los Angeles,Very Good
Delora Arendt,Female,Marketing,"$67,620 ",Wellington,Good
Archibaldo Denny,Female,Product Management,"$69,740 ",Bellevue,Not Rated
Jeane Blaszczak,Female,Engineering,"$44,300 ",Bellevue,Good
Codi Beck,Female,Business Development,"$40,560 ",Bellevue,Poor
Faunie Sinton,Female,Sales,"$115,230 ",Wellington,Good
Nicol Giacomi,Female,Training,"$39,750 ",Los Angeles,Average
Crawford Scad,Male,Human Resources,"$72,880 ",Bellevue,Average
